time,eptot,ektot,etot,temp,pres,volume,density,rmsd
84.0,-105205.4984,22898.0685,-82307.4298,301.26,0.0,,,0.0
85.0,-105094.2156,22736.7817,-82357.4339,299.14,0.0,,,0.0
86.0,-105187.2598,22720.576,-82466.6838,298.92,0.0,,,0.0
87.0,-105469.246,22865.7038,-82603.5422,300.83,0.0,,,0.0
88.0,-105146.5659,22905.5891,-82240.9769,301.36,0.0,,,0.0
89.0,-105271.3351,22845.7214,-82425.6137,300.57,0.0,,,0.0
90.0,-105242.855,23013.281,-82229.574,302.77,0.0,,,0.0
91.0,-105249.8498,23151.8382,-82098.0116,304.6,0.0,,,0.0
92.0,-105196.4965,23024.0095,-82172.487,302.92,0.0,,,0.0
93.0,-105389.0144,22958.3663,-82430.648,302.05,0.0,,,0.0
94.0,-105454.6764,22640.228,-82814.4483,297.87,0.0,,,0.0
95.0,-105324.5634,22859.1752,-82465.3883,300.75,0.0,,,0.0
96.0,-105399.8763,23003.0509,-82396.8254,302.64,0.0,,,0.0
97.0,-105465.756,22873.4609,-82592.2951,300.93,0.0,,,0.0
98.0,-105468.4994,22923.5112,-82544.9881,301.59,0.0,,,0.0
99.0,-105373.2913,22877.4746,-82495.8167,300.99,0.0,,,0.0
100.0,-105535.1524,22861.0077,-82674.1447,300.77,0.0,,,0.0
101.0,-105431.881,22814.7997,-82617.0813,300.16,0.0,,,0.0
102.0,-105611.5119,22700.1779,-82911.3339,298.65,0.0,,,0.0
103.0,-105440.2077,22706.2866,-82733.9211,298.74,0.0,,,0.0
104.0,-105422.9654,22700.9794,-82721.986,298.67,0.0,,,0.0
105.0,-105443.3793,22746.5088,-82696.8705,299.26,0.0,,,0.0
106.0,-105563.3614,22792.1776,-82771.1838,299.87,0.0,,,0.0
107.0,-105599.5824,22976.0913,-82623.491,302.28,0.0,,,0.0
108.0,-105331.6623,22751.9858,-82579.6765,299.34,0.0,,,0.0
109.0,-105461.1481,22955.4822,-82505.6659,302.01,0.0,,,0.0
110.0,-105582.1143,22989.2787,-82592.8356,302.46,0.0,,,0.0
111.0,-105862.5174,22783.022,-83079.4953,299.74,0.0,,,0.0
112.0,-105693.3608,22654.4449,-83038.9159,298.05,0.0,,,0.0
113.0,-105647.6033,22920.2712,-82727.3321,301.55,0.0,,,0.0
114.0,-105660.6842,22769.3329,-82891.3513,299.56,0.0,,,0.0
115.0,-105428.0738,22926.5365,-82501.5373,301.63,0.0,,,0.0
116.0,-105525.978,22874.083,-82651.895,300.94,0.0,,,0.0
117.0,-105686.2076,22686.6836,-82999.524,298.48,0.0,,,0.0
118.0,-105534.7728,22716.9341,-82817.8386,298.88,0.0,,,0.0
119.0,-105630.6551,22799.0621,-82831.593,299.96,0.0,,,0.0
120.0,-105348.3407,22788.6514,-82559.6893,299.82,0.0,,,0.0
121.0,-105626.1036,22816.3831,-82809.7205,300.18,0.0,,,0.0
122.0,-105811.8712,22766.2198,-83045.6514,299.52,0.0,,,0.0
123.0,-105598.7554,22810.161,-82788.5943,300.1,0.0,,,0.0
124.0,-105673.8748,22737.0511,-82936.8237,299.14,0.0,,,0.0
125.0,-105393.4559,22776.5533,-82616.9026,299.66,0.0,,,0.0
126.0,-105552.4504,22896.8351,-82655.6153,301.24,0.0,,,0.0
127.0,-105357.6721,22685.1643,-82672.5078,298.46,0.0,,,0.0
128.0,-105307.9012,22538.7104,-82769.1909,296.53,0.0,,,0.0
129.0,-105443.0485,22912.0989,-82530.9496,301.44,0.0,,,0.0
130.0,-105400.9492,22922.3517,-82478.5975,301.58,0.0,,,0.0
131.0,-105560.9208,22840.209,-82720.7118,300.5,0.0,,,0.0
132.0,-105503.3855,22825.5532,-82677.8323,300.3,0.0,,,0.0
133.0,-105596.8469,22796.7143,-82800.1326,299.92,0.0,,,0.0
134.0,-105703.2609,22820.4745,-82882.7864,300.24,0.0,,,0.0
135.0,-105616.7897,22733.6119,-82883.1778,299.09,0.0,,,0.0
136.0,-105243.6883,22598.321,-82645.3673,297.31,0.0,,,0.0
137.0,-105524.8235,22947.7431,-82577.0804,301.91,0.0,,,0.0
138.0,-105556.411,22996.4447,-82559.9663,302.55,0.0,,,0.0
139.0,-105822.502,22836.33,-82986.172,300.45,0.0,,,0.0
140.0,-105666.4186,22658.5524,-83007.8662,298.11,0.0,,,0.0
141.0,-105501.5109,22878.5627,-82622.9482,301.0,0.0,,,0.0
142.0,-105530.8796,22797.9234,-82732.9562,299.94,0.0,,,0.0
143.0,-105740.7424,22708.1884,-83032.554,298.76,0.0,,,0.0
144.0,-105861.9362,22795.1724,-83066.7638,299.9,0.0,,,0.0
145.0,-105724.1342,23043.9974,-82680.1368,303.18,0.0,,,0.0
146.0,-105797.7257,22861.7922,-82935.9335,300.78,0.0,,,0.0
147.0,-105535.5209,22579.1764,-82956.3445,297.06,0.0,,,0.0
148.0,-105619.2404,22744.6998,-82874.5406,299.24,0.0,,,0.0
149.0,-105767.4426,22971.1171,-82796.3255,302.22,0.0,,,0.0
